sourceID ; 0  ; intensity ; 996539 ; x ; 50 ; y ; 100 ; z ; 500
sourceID ; 1  ; intensity ; 3963.07 ; x ; 150 ; y ; 100 ; z ; 500
sourceID ; 2  ; intensity ; 211354 ; x ; 250 ; y ; 100 ; z ; 500
sourceID ; 3  ; intensity ; 936801 ; x ; 350 ; y ; 100 ; z ; 500
sourceID ; 4  ; intensity ; 4039.81 ; x ; 50 ; y ; 300 ; z ; 500
sourceID ; 5  ; intensity ; 10481.2 ; x ; 150 ; y ; 300 ; z ; 500
sourceID ; 6  ; intensity ; 27888.1 ; x ; 250 ; y ; 300 ; z ; 500
sourceID ; 7  ; intensity ; 54848 ; x ; 350 ; y ; 300 ; z ; 500
sourceID ; 8  ; intensity ; 33007.1 ; x ; 50 ; y ; 500 ; z ; 500
sourceID ; 9  ; intensity ; 35729.2 ; x ; 150 ; y ; 500 ; z ; 500
sourceID ; 10  ; intensity ; 39836.4 ; x ; 250 ; y ; 500 ; z ; 500
sourceID ; 11  ; intensity ; 43929.1 ; x ; 350 ; y ; 500 ; z ; 500
sourceID ; 12  ; intensity ; 67138.9 ; x ; 50 ; y ; 700 ; z ; 500
sourceID ; 13  ; intensity ; 35655.9 ; x ; 150 ; y ; 700 ; z ; 500
sourceID ; 14  ; intensity ; 34268.9 ; x ; 250 ; y ; 700 ; z ; 500
sourceID ; 15  ; intensity ; 32170.2 ; x ; 350 ; y ; 700 ; z ; 500
