sourceID ; 0  ; intensity ; 996310 ; x ; 50 ; y ; 100 ; z ; 500
sourceID ; 1  ; intensity ; 3963.39 ; x ; 150 ; y ; 100 ; z ; 500
sourceID ; 2  ; intensity ; 211339 ; x ; 250 ; y ; 100 ; z ; 500
sourceID ; 3  ; intensity ; 936395 ; x ; 350 ; y ; 100 ; z ; 500
sourceID ; 4  ; intensity ; 4044.28 ; x ; 50 ; y ; 300 ; z ; 500
sourceID ; 5  ; intensity ; 10496.8 ; x ; 150 ; y ; 300 ; z ; 500
sourceID ; 6  ; intensity ; 27940.2 ; x ; 250 ; y ; 300 ; z ; 500
sourceID ; 7  ; intensity ; 54965.4 ; x ; 350 ; y ; 300 ; z ; 500
sourceID ; 8  ; intensity ; 33056.7 ; x ; 50 ; y ; 500 ; z ; 500
sourceID ; 9  ; intensity ; 35839.4 ; x ; 150 ; y ; 500 ; z ; 500
sourceID ; 10  ; intensity ; 40038 ; x ; 250 ; y ; 500 ; z ; 500
sourceID ; 11  ; intensity ; 44221.9 ; x ; 350 ; y ; 500 ; z ; 500
sourceID ; 12  ; intensity ; 66990 ; x ; 50 ; y ; 700 ; z ; 500
sourceID ; 13  ; intensity ; 35742.9 ; x ; 150 ; y ; 700 ; z ; 500
sourceID ; 14  ; intensity ; 34569.2 ; x ; 250 ; y ; 700 ; z ; 500
sourceID ; 15  ; intensity ; 32565.4 ; x ; 350 ; y ; 700 ; z ; 500
